2026-03-19 08:05:33.948 [http-nio-8080-exec-9] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 436 ms
2026-03-19 08:06:05.956 [main] INFO  com.td.web.TdWebApiApplication - Starting TdWebApiApplication using Java 25.0.1 with PID 30740 (D:\TD.WebAPI\td-webapi-java\td-web\target\classes started by Admin in D:\TD.WebAPI\td-webapi-java\td-web)
2026-03-19 08:06:05.957 [main] INFO  com.td.web.TdWebApiApplication - The following 1 profile is active: "dev"
2026-03-19 08:06:06.431 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-19 08:06:06.431 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-19 08:06:06.504 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 68 ms. Found 2 JPA repository interfaces.
2026-03-19 08:06:06.741 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-19 08:06:06.742 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-03-19 08:06:06.753 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2026-03-19 08:06:07.315 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-03-19 08:06:07.322 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-19 08:06:07.322 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2026-03-19 08:06:07.412 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-19 08:06:07.412 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1414 ms
2026-03-19 08:06:07.604 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-19 08:06:07.692 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3573e19d
2026-03-19 08:06:07.693 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-19 08:06:07.744 [main] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
2026-03-19 08:06:07.745 [main] INFO  o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
2026-03-19 08:06:07.745 [main] INFO  o.f.c.i.license.VersionPrinter - 
2026-03-19 08:06:07.754 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/tdwebapi (PostgreSQL 15.17)
2026-03-19 08:06:07.785 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 6 migrations (execution time 00:00.017s)
2026-03-19 08:06:07.814 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 1.0.6
2026-03-19 08:06:07.816 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
2026-03-19 08:06:07.883 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-19 08:06:07.910 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2026-03-19 08:06:07.932 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-03-19 08:06:08.092 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-19 08:06:08.128 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-19 08:06:08.621 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-03-19 08:06:08.631 [main] INFO  o.hibernate.orm.connections.access - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@331da721] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2026-03-19 08:06:08.656 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-03-19 08:06:08.839 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-03-19 08:06:09.986 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2026-03-19 08:06:10.095 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@443ec909, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@8dd572e, org.springframework.security.web.context.SecurityContextHolderFilter@7c78688b, org.springframework.security.web.header.HeaderWriterFilter@3116e9f2, org.springframework.web.filter.CorsFilter@2aa43751, org.springframework.security.web.authentication.logout.LogoutFilter@74ddae54, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@3ad43c37, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4e23fd4f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@590cdb9a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6ed238c2, org.springframework.security.web.session.SessionManagementFilter@46ddf016, org.springframework.security.web.access.ExceptionTranslationFilter@1bd95764, org.springframework.security.web.access.intercept.AuthorizationFilter@229e9280]
2026-03-19 08:06:10.633 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-03-19 08:06:10.641 [main] INFO  com.td.web.TdWebApiApplication - Started TdWebApiApplication in 4.987 seconds (process running for 5.235)
2026-03-19 08:06:10.669 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-19 08:06:10.670 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-19 08:06:10.671 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
